Stnno,Year,Month,Day,Rainfall,Day mean wind,Solar Radioation ( MJm-2)
48650,2009,1,16,0.0,2.8,-1.11
48650,2009,1,17,0.0,4.0,-1.11
48650,2009,1,18,0.0,3.5,-1.11
48650,2009,1,19,0.0,2.3,-1.11
48650,2009,1,20,0.0,1.4,-1.11
48650,2009,1,21,0.0,1.6,-1.11
48650,2009,1,22,0.0,1.1,-1.11
48650,2009,1,23,0.0,1.7,21.29
48650,2009,1,24,0.0,2.4,23.72
48650,2009,1,25,7.0,3.6,16.53
48650,2009,1,26,0.0,2.9,19.15
48650,2009,1,27,1.0,1.8,18.95
48650,2009,1,28,22.2,3.0,21.10
48650,2009,1,29,1.2,1.3,15.40
48650,2009,1,30,14.4,1.3,13.29
48650,2009,1,31,0.0,1.0,13.08
48650,2009,2,1,0.0,1.4,9.87
48650,2009,2,2,0.4,1.8,20.30
48650,2009,2,3,7.2,1.2,12.77
48650,2009,2,4,0.0,1.3,19.32
48650,2009,2,5,0.0,1.3,15.79
48650,2009,2,6,0.0,1.3,14.41
48650,2009,2,7,0.0,1.0,17.64
48650,2009,2,8,7.4,1.6,21.25
48650,2009,2,9,0.0,1.4,16.62
48650,2009,2,10,0.0,1.3,17.62
48650,2009,2,11,0.0,1.1,19.25
48650,2009,2,12,0.0,0.9,11.25
48650,2009,2,13,0.0,1.7,17.25
48650,2009,2,14,0.0,1.6,17.10
48650,2009,2,15,0.0,1.1,18.53
48650,2009,2,16,0.0,1.2,16.42
48650,2009,2,17,1.0,1.7,-1.11
48650,2009,2,18,0.0,1.5,-1.11
48650,2009,2,19,0.0,1.5,23.15
48650,2009,2,20,0.0,1.5,19.06
48650,2009,2,21,1.4,1.6,19.08
48650,2009,2,22,2.0,1.3,12.12
48650,2009,2,23,5.8,1.5,14.65
48650,2009,2,24,64.8,1.0,17.54
48650,2009,2,25,12.0,1.4,19.82
48650,2009,2,26,31.6,1.2,14.59
48650,2009,2,27,0.0,1.4,15.83
48650,2009,2,28,0.8,2.1,18.51
48650,2009,3,1,8.0,1.4,17.13
48650,2009,3,2,0.0,1.6,21.44
48650,2009,3,3,0.0,1.8,16.90
48650,2009,3,4,0.0,1.0,21.22
48650,2009,3,5,20.2,0.9,4.98
48650,2009,3,6,5.4,0.8,11.60
48650,2009,3,7,43.6,1.1,9.84
48650,2009,3,8,0.0,1.3,25.39
48650,2009,3,9,3.2,1.9,7.66
48650,2009,3,10,0.0,1.4,20.98
48650,2009,3,11,1.8,1.7,15.95
48650,2009,3,12,7.4,1.2,24.51
48650,2009,3,13,5.2,1.1,8.86
48650,2009,3,14,0.2,2.3,18.65
48650,2009,3,15,5.4,1.5,23.15
48650,2009,3,16,0.0,1.0,13.16
48650,2009,3,17,8.2,0.7,9.75
48650,2009,3,18,1.0,1.9,20.49
48650,2009,3,19,7.8,1.0,16.19
48650,2009,3,20,26.0,1.4,17.65
48650,2009,3,21,0.0,1.4,22.40
